STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Season,Month,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,11/30/52,Fall,November,,,,,0,",,0,",0,",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/1/52,Winter,December,,,,,0,",,0,",,,,,2.8,",,0",-12.2,",,0",-1.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/2/52,Winter,December,,,,,4.6,",,0,",,,25,",,0,",0.6,",,0",-4.4,",,0",-0.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/3/52,Winter,December,,,,,0.3,",,0,",,,,,7.2,",,0",-0.6,",,0",3.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/4/52,Winter,December,,,,,0,",,0,",,,,,3.9,",,0",-2.8,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/5/52,Winter,December,,,,,8.1,",,0,",,,,,6.7,",,0",2.2,",,0",5,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/6/52,Winter,December,,,,,0,",,0,",,,,,11.1,",,0",1.1,",,0",7.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/7/52,Winter,December,,,,,0,",,0,",,,,,15.6,",,0",-1.7,",,0",10,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/8/52,Winter,December,,,,,0,",,0,",,,,,15.6,",,0",0,",,0",11.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/9/52,Winter,December,,,,,0,",,0,",,,,,20,",,0",-1.1,",,0",13.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/10/52,Winter,December,,,,,5.8,",,0,",,,,,16.1,",,0",10,",,0",13.3,",,0,",,,1,",,0",,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/11/52,Winter,December,,,,,16.3,",,0,",,,,,13.3,",,0",-1.7,",,0",-1.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/12/52,Winter,December,,,,,0,",,0,",,,,,7.2,",,0",-5.6,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/13/52,Winter,December,,,,,0,",,0,",,,,,3.9,",,0",-3.3,",,0",-1.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/14/52,Winter,December,,,,,0,",,0,",,,,,-1.1,",,0",-8.9,",,0",-3.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/15/52,Winter,December,,,,,0,",,0,",,,,,-2.2,",,0",-7.2,",,0",-3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/16/52,Winter,December,,,,,0,",,0,",,,,,7.2,",,0",-5.6,",,0",3.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/17/52,Winter,December,,,,,0,",,0,",,,,,13.3,",,0",-2.2,",,0",7.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/18/52,Winter,December,,,,,0,",,0,",,,,,12.2,",,0",-2.2,",,0",6.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/19/52,Winter,December,,,,,0,",,0,",,,,,10,",,0",-3.3,",,0",6.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/20/52,Winter,December,,,,,1,",,0,",,,,,6.7,",,0",-2.2,",,0",2.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/21/52,Winter,December,,,,,1.5,",,0,",,,,,7.2,",,0",0,",,0",5,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/22/52,Winter,December,,,,,0,",,0,",,,,,7.8,",,0",0,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/23/52,Winter,December,,,,,0.8,",,0,",,,,,6.7,",,0",2.2,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/24/52,Winter,December,,,,,0,",,0,",,,,,11.1,",,0",0,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/25/52,Winter,December,,,,,0,",,0,",,,,,11.1,",,0",-0.6,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/26/52,Winter,December,,,,,0,",,0,",,,,,7.2,",,0",-1.7,",,0",0,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/27/52,Winter,December,,,,,0,",,0,",,,,,5,",,0",-3.3,",,0",0,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/28/52,Winter,December,,,,,0,",,0,",,,,,0,",,0",-11.7,",,0",-2.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/29/52,Winter,December,,,,,0,",,0,",,,,,8.9,",,0",-8.9,",,0",7.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/30/52,Winter,December,,,,,0,",,0,",,,,,8.3,",,0",-3.9,",,0",6.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,12/31/52,Winter,December,,,,,17.8,",,0,",,,,,6.7,",,0",0,",,0",1.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/1/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",4.4,",,0",0,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/2/53,Winter,January,,,,,2.5,",,0,",0,",,0,",0,",,0,",5.6,",,0",-2.8,",,0",,,,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/3/53,Winter,January,,,,,8.9,",,0,",,,51,",,0,",2.2,",,0",-2.8,",,0",1.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/4/53,Winter,January,,,,,6.9,",,0,",,,51,",,0,",1.1,",,0",-5.6,",,0",-1.1,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/5/53,Winter,January,,,,,0,",,0,",0,",,0,",25,",,0,",1.1,",,0",-6.7,",,0",-0.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/6/53,Winter,January,,,,,2,",,0,",,,25,",,0,",0.6,",,0",-4.4,",,0",0.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/7/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",15.6,",,0",0,",,0",8.3,",,0,",1,",,0",,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/8/53,Winter,January,,,,,10.4,",,0,",0,",,0,",0,",,0,",8.9,",,0",0,",,0",1.7,",,0,",1,",,0",,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/9/53,Winter,January,,,,,2.5,",,0,",0,",,0,",0,",,0,",5.6,",,0",1.1,",,0",5,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/10/53,Winter,January,,,,,10.2,",,0,",0,",,0,",0,",,0,",5.6,",,0",1.7,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/11/53,Winter,January,,,,,0.5,",,0,",0,",,0,",0,",,0,",4.4,",,0",-1.1,",,0",-0.6,",,0,",,,,,,,,,,,,,,,,,1,",,0",,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/12/53,Winter,January,,,,,0.3,",,0,",0,",,0,",0,",,0,",3.9,",,0",-3.9,",,0",0,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/13/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",11.7,",,0",-5,",,0",8.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/14/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",16.1,",,0",-2.8,",,0",10,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/15/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",16.1,",,0",-2.8,",,0",12.2,",,0,",1,",,0",,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/16/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",16.7,",,0",2.2,",,0",11.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/17/53,Winter,January,,,,,0.3,",,0,",0,",,0,",0,",,0,",12.8,",,0",1.1,",,0",2.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/18/53,Winter,January,,,,,4.8,",,0,",0,",,0,",0,",,0,",12.2,",,0",1.7,",,0",11.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/19/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",15,",,0",-2.2,",,0",11.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/20/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",15,",,0",0,",,0",13.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/21/53,Winter,January,,,,,18,",,0,",0,",,0,",0,",,0,",13.9,",,0",4.4,",,0",6.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/22/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",15,",,0",-0.6,",,0",10,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/23/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",12.2,",,0",2.8,",,0",10.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/24/53,Winter,January,,,,,5.6,",,0,",0,",,0,",0,",,0,",12.8,",,0",2.8,",,0",2.8,",,0,",,,,,,,,,,,,,,,,,1,",,0",,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/25/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",3.3,",,0",-6.7,",,0",-3.9,",,0,",,,,,,,,,,,,,,,,,1,",,0",,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/26/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",7.2,",,0",-5,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/27/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",8.9,",,0",-0.6,",,0",7.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/28/53,Winter,January,,,,,,,0,",,0,",0,",,0,",9.4,",,0",2.2,",,0",2.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/29/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",4.4,",,0",-6.7,",,0",1.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/30/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",10.6,",,0",-4.4,",,0",6.7,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,1/31/53,Winter,January,,,,,0,",,0,",0,",,0,",0,",,0,",14.4,",,0",2.8,",,0",10,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/1/53,Winter,February,,,,,0,",,0,",,,,,12.2,",,0",5,",,0",7.2,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/2/53,Winter,February,,,,,0,",,0,",,,,,7.2,",,0",-5.6,",,0",2.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/3/53,Winter,February,,,,,,,,,,,13.3,",,0",-5.6,",,0",8.3,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/4/53,Winter,February,2,",,0",5.1,",,0",,,,,,,9.4,",,0",-0.6,",,0",3.9,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/5/53,Winter,February,,,,,0,",,0,",,,,,8.9,",,0",-7.8,",,0",4.4,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/6/53,Winter,February,,,,,2,",,0,",,,,,5,",,0",-0.6,",,0",2.8,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/7/53,Winter,February,,,,,15.7,",,0,",,,,,6.7,",,0",1.7,",,0",5.6,",,0,",,,,,,,,,,,,,,,,,,,,
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,2/8/53,Winter,February,,,,,0,",,0,",,,,,7.8,",,0",0,",,0",5,",,0,",,,,,,,,,,,,,,,,,,,,
